# Gelleråsen Arena planar centerline, L = 2327.2 m
# from OSM (way["highway"="raceway"](59.33,14.45,59.40,14.55)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
1795.000000,-295.360611,-82.125014,-3.496496,-0.018880
1800.000000,-299.970586,-80.192984,-3.573469,-0.012304
1805.000000,-304.448759,-77.970642,-3.629782,-0.011168
1810.000000,-308.791459,-75.494652,-3.693374,-0.014605
1815.000000,-312.941490,-72.708888,-3.777296,-0.018929
1820.000000,-316.809118,-69.544401,-3.879596,-0.021639
1825.000000,-320.318458,-65.986920,-3.990299,-0.022590
1830.000000,-323.399474,-62.053211,-4.103895,-0.022518
1835.000000,-326.032592,-57.805843,-4.209908,-0.019548
1840.000000,-328.226600,-53.315229,-4.302020,-0.017817
1845.000000,-330.019838,-48.649842,-4.391781,-0.018197
1850.000000,-331.370110,-43.837721,-4.483326,-0.018286
1855.000000,-332.292585,-38.925376,-4.571145,-0.016372
1860.000000,-332.797652,-33.952231,-4.646528,-0.014453
1865.000000,-332.946809,-28.955784,-4.725473,-0.018000
1870.000000,-332.633179,-23.967849,-4.822899,-0.019733
1875.000000,-331.858078,-19.030201,-4.910544,-0.014630
1880.000000,-330.709074,-14.164844,-4.971519,-0.010395
1885.000000,-329.313644,-9.364060,-5.018190,-0.008398
1890.000000,-327.707507,-4.629462,-5.060170,-0.008996
1895.000000,-325.890174,0.027818,-5.114802,-0.013247
1900.000000,-323.765696,4.552595,-5.188067,-0.015196
1905.000000,-321.318836,8.911527,-5.258479,-0.012514
1910.000000,-318.597778,13.105467,-5.312811,-0.009508
1915.000000,-315.682805,17.167270,-5.356258,-0.008054
1920.000000,-312.600306,21.103563,-5.396989,-0.008603
1925.000000,-309.351942,24.903845,-5.446127,-0.011237
1930.000000,-305.893633,28.513711,-5.507310,-0.012991
1935.000000,-302.209947,31.892689,-5.579948,-0.017104
1940.000000,-298.239235,34.926426,-5.692467,-0.028171
1945.000000,-293.895484,37.389900,-5.844402,-0.029854
1950.000000,-289.242344,39.210649,-5.961017,-0.015759
1955.000000,-284.455063,40.651607,-6.007959,-0.004367
1960.000000,-279.633466,41.975227,-6.018535,-0.000630
1965.000000,-274.806299,43.278476,-6.019820,-0.000054
1970.000000,-269.978595,44.579735,-6.019938,-0.000010
1975.000000,-265.150816,45.880714,-6.019980,-0.000007
1980.000000,-260.322993,47.181532,-6.020003,-0.000003
1985.000000,-255.495151,48.482279,-6.020011,-0.000001
1990.000000,-250.667305,49.783010,-6.020012,-0.000000
1995.000000,-245.839458,51.083739,-6.020012,-0.000000
2000.000000,-241.011612,52.384468,-6.020012,0.000000
2005.000000,-236.183765,53.685197,-6.020012,0.000000
2010.000000,-231.355918,54.985926,-6.020012,0.000000
2015.000000,-226.528071,56.286655,-6.020012,-0.000000
2020.000000,-221.700225,57.587384,-6.020012,-0.000000
2025.000000,-216.872378,58.888113,-6.020012,-0.000000
2030.000000,-212.044531,60.188842,-6.020012,-0.000000
2035.000000,-207.216684,61.489571,-6.020012,0.000000
2040.000000,-202.388838,62.790300,-6.020012,0.000000
2045.000000,-197.560991,64.091029,-6.020012,0.000000
2050.000000,-192.733145,65.391760,-6.020011,0.000000
2055.000000,-187.905300,66.692497,-6.020009,0.000001
2060.000000,-183.077460,67.993249,-6.020005,0.000001
2065.000000,-178.249624,69.294021,-6.020002,0.000001
2070.000000,-173.421793,70.594806,-6.020000,0.000000
2075.000000,-168.593963,71.895597,-6.019999,0.000000
2080.000000,-163.766133,73.196388,-6.019999,0.000000
2085.000000,-158.938303,74.497180,-6.019999,0.000000
2090.000000,-154.110473,75.797972,-6.019999,0.000000
2095.000000,-149.282643,77.098763,-6.019999,0.000000
2100.000000,-144.454813,78.399555,-6.019999,0.000000
2105.000000,-139.626984,79.700347,-6.019999,0.000000
2110.000000,-134.799154,81.001138,-6.019999,0.000000
2115.000000,-129.971324,82.301930,-6.019999,-0.000000
2120.000000,-125.143494,83.602722,-6.019999,0.000000
2125.000000,-120.315664,84.903513,-6.019999,0.000000
2130.000000,-115.487834,86.204305,-6.019999,-0.000000
2135.000000,-110.660004,87.505097,-6.019999,-0.000000
2140.000000,-105.832175,88.805888,-6.019999,-0.000000
2145.000000,-101.004345,90.106680,-6.019999,0.000000
2150.000000,-96.176515,91.407472,-6.019999,-0.000000
2155.000000,-91.348685,92.708263,-6.019999,-0.000000
2160.000000,-86.520855,94.009055,-6.019999,-0.000000
2165.000000,-81.693025,95.309847,-6.019999,0.000000
2170.000000,-76.865196,96.610638,-6.020000,-0.000001
2175.000000,-72.037351,97.911375,-6.020051,-0.000029
2180.000000,-67.209236,99.211110,-6.020705,-0.000316
2185.000000,-62.378419,100.500741,-6.025583,-0.001904
2190.000000,-57.534793,101.741116,-6.043962,-0.005784
2195.000000,-52.657374,102.839668,-6.082345,-0.009027
2200.000000,-47.737563,103.728962,-6.124972,-0.007228
2205.000000,-42.788881,104.442359,-6.150062,-0.002957
2210.000000,-37.829686,105.079729,-6.158149,-0.000610
2215.000000,-32.868117,105.698459,-6.159495,-0.000066
2220.000000,-27.906257,106.314860,-6.159618,-0.000003
2225.000000,-22.944381,106.931128,-6.159610,0.000004
2230.000000,-17.982519,107.547508,-6.159570,0.000012
2235.000000,-13.020694,108.164186,-6.159500,0.000014
2240.000000,-8.058909,108.781184,-6.159449,0.000006
2245.000000,-3.097144,109.398346,-6.159431,0.000001
2250.000000,1.864616,110.015552,-6.159427,0.000000
2255.000000,6.826374,110.632764,-6.159427,0.000000
2260.000000,11.788133,111.249977,-6.159427,-0.000000
2265.000000,16.749892,111.867189,-6.159428,-0.000001
2270.000000,21.711655,112.484361,-6.159455,-0.000013
2275.000000,26.673470,113.101124,-6.159670,-0.000091
2280.000000,31.635617,113.715203,-6.160698,-0.000340
2285.000000,36.598790,114.320925,-6.163172,-0.000637
2290.000000,41.563817,114.911242,-6.166412,-0.000601
2295.000000,46.530511,115.487387,-6.168684,-0.000290
2300.000000,51.498077,116.055968,-6.169510,-0.000072
2305.000000,56.465873,116.622536,-6.169678,-0.000009
2310.000000,61.433705,117.188792,-6.169694,-0.000001
2315.000000,66.401540,117.755025,-6.169695,0.000000
2320.000000,71.369374,118.321258,-6.169695,0.000000
2325.000000,76.337209,118.887491,-6.169695,0.000000
